file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_61_H4_P0(NP).csv,7,82382.57142857143,104827.0830564784,93089.42857142857,109064.0,132652.0,-42580.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_62_H4_P0(NP).csv,9,110771.55555555556,165248.64969887922,57768.0,59066.0,296552.0,-8454.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_63_H4_P0(NP).csv,7,86678.57142857143,138131.7142857143,56624.57142857143,37320.0,69652.0,-91982.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_64_H4_P0(NP).csv,7,98284.57142857143,121377.15904167198,59004.28571428572,51312.0,117934.0,-17106.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_65_H4_P0(NP).csv,5,74270.4,96068.51764705883,61645.2,54226.0,111556.0,-37232.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_66_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_67_H4_P0(NP).csv,8,100437.0,127940.30113636362,73448.25,87089.0,181810.0,23774.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_68_H4_P0(NP).csv,9,72740.44444444444,86534.99487179487,39436.666666666664,42464.0,83482.0,-54484.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_69_H4_P0(NP).csv,9,86814.66666666667,132095.7637558507,82240.77777777778,79498.0,191934.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_70_H4_P0(NP).csv,12,83228.66666666667,122055.74741426395,69039.16666666667,63702.0,450164.0,-1948.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_71_H4_P0(NP).csv,7,87401.42857142857,101182.57956857956,70160.57142857143,89024.0,44548.0,-107923.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_72_H4_P0(NP).csv,12,68588.16666666667,85414.77098143236,51914.833333333336,42766.0,177026.0,1198.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_73_H4_P0(NP).csv,6,105011.0,134802.8606965174,56762.666666666664,52428.0,94306.0,-68112.0
